Year,Period,Saldo,time_real,time
24,1,3488215.76,24.0,0.0
24,2,3282310.07,24.083333333333332,0.08333333333333215
24,3,4217438.39,24.166666666666668,0.16666666666666785
24,4,4255810.42,24.25,0.25
24,5,3243432.63,24.333333333333332,0.33333333333333215
24,6,4126412.02,24.416666666666668,0.41666666666666785
24,7,3875875.31,24.5,0.5
24,8,3877254.82,24.583333333333332,0.5833333333333321
24,9,3654366.73,24.666666666666668,0.6666666666666679
24,10,4211735.42,24.75,0.75
24,11,3896760.25,24.833333333333332,0.8333333333333321
24,12,3531736.74,24.916666666666668,0.9166666666666679
25,1,2039626.97,25.0,1.0
25,2,2166413.52,25.083333333333332,1.0833333333333321
25,3,2354295.22,25.166666666666668,1.1666666666666679
25,4,2021372.83,25.25,1.25
25,5,2472293.71,25.333333333333332,1.3333333333333321
25,6,2409201.05,25.416666666666668,1.4166666666666679
25,7,2030360.54,25.5,1.5
25,8,2333164.36,25.583333333333332,1.5833333333333321
25,9,2306773.72,25.666666666666668,1.6666666666666679
25,10,2117801.49,25.75,1.75
25,11,2543285.37,25.833333333333332,1.8333333333333321
25,12,2437965.85,25.916666666666668,1.9166666666666679
